,summary,Urbane_Hitzeinsel,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,word
verbrauchen,3.401974363011518,0.06416969144864537,-0.5914230504694156,-0.06498701590192135,0.012194242574059013,1.0734044112212535,0.008939429351687471,0.0,0.012224410340546558,0.008646730137609868,0.012224410340546558,0.0012306262832917176,0.06344746380815568,0.0,verbrauchen
produzier+t verbrauch+en,3.401974363011518,0.06416969144864537,-0.5914230504694156,-0.06498701590192135,0.012194242574059013,1.0734044112212535,0.008939429351687471,0.0,0.012224410340546558,0.008646730137609868,0.012224410340546558,0.0012306262832917176,0.06344746380815568,0.0,produzier+t verbrauch+en
stärkt,3.459051621956019,0.04753119573862822,-0.6080615461794329,-0.08162551161193837,-0.004444253135957851,1.1170284967956245,-0.007699066358329433,0.0,-0.004414085369470651,-0.007991765572407055,-0.004414085369470651,-0.015407869426725512,0.04680896809813869,0.0,stärkt
verbrauch+en stärk+t,3.459051621956019,0.04753119573862822,-0.6080615461794329,-0.08162551161193837,-0.004444253135957851,1.1170284967956245,-0.007699066358329433,0.0,-0.004414085369470651,-0.007991765572407055,-0.004414085369470651,-0.015407869426725512,0.04680896809813869,0.0,verbrauch+en stärk+t
Stromspeicher,3.5223733647453663,0.02939063578324404,-0.6262021061348171,-0.09976607156732274,-0.0225848130913423,1.1617509655176348,-0.025839626313713702,0.0,-0.022554645324854933,-0.026132325527791538,-0.022554645324854933,-0.03354842938210983,0.028668408142754346,0.0,Stromspeicher
stärk+t strom+speicher,3.5223733647453663,0.02939063578324404,-0.6262021061348171,-0.09976607156732274,-0.0225848130913423,1.1617509655176348,-0.025839626313713702,0.0,-0.022554645324854933,-0.026132325527791538,-0.022554645324854933,-0.03354842938210983,0.028668408142754346,0.0,stärk+t strom+speicher
Unabhängigkeit,3.6478856987429955,-0.005622089603745459,-0.6612148315218065,-0.1347787969543122,-0.0575975384783318,1.240751895389755,-0.060852351700703286,0.0,-0.05756737071184453,-0.06114505091478088,-0.05756737071184453,-0.06856115476909926,-0.006344317244235136,0.0,Unabhängigkeit
strom+speicher unabhängigkeit,3.6478856987429955,-0.005622089603745459,-0.6612148315218065,-0.1347787969543122,-0.0575975384783318,1.240751895389755,-0.060852351700703286,0.0,-0.05756737071184453,-0.06114505091478088,-0.05756737071184453,-0.06856115476909926,-0.006344317244235136,0.0,strom+speicher unabhängigkeit
Stromquellen,4.047626005835188,-0.10960488831806105,-0.7651976302361221,-0.2387615956686277,-0.1615803371926472,1.4318113197785076,-0.16483515041501876,0.0,-0.16155016942616005,-0.1651278496290965,-0.16155016942616005,-0.17254395348341478,-0.11032711595855062,0.0,Stromquellen
unabhängigkeit strom+quelle+n,4.047626005835188,-0.10960488831806105,-0.7651976302361221,-0.2387615956686277,-0.1615803371926472,1.4318113197785076,-0.16483515041501876,0.0,-0.16155016942616005,-0.1651278496290965,-0.16155016942616005,-0.17254395348341478,-0.11032711595855062,0.0,unabhängigkeit strom+quelle+n
